en	ha
What color are the pillows?##bed,potted plant,potted plant,bed	Wani launi ne matasan kai?
What is this photo of?##person,person,bed,bed,remote,cell phone	Hoton menene wannan?
What is on the other side of the lake?##bench	Mene a ɗayan gefen tafkin?
To clean the lamb.##person,sheep,person,person,chair,person,chair,chair,person,chair	Dan wanke ɗan tunkiyan.
One.##person,umbrella,bench	Ɗaya.
White.##cat,chair,dining table	Fari.
Who is holding the food?##person,chair,cup,donut,dining table,chair,chair,donut,bed	Waye ke riƙe da abincin?
What color is the player's helmet?##person,tennis racket	Mene launin hular kwanon mutumin?
Orange.##person,chair,cup,donut,dining table,chair,chair,donut,bed	Orange.
What are the people walking on?##person,person,bench,car,person,boat,boat,backpack,car,boat	A kan me mutanen suke tafiya?
Table.##person,laptop,person,laptop,bottle,laptop,keyboard,chair,laptop,tie	Tebur.
Dog on bed.##bed,dog,dog,dog,bed,bed	Kare a kan gado.
Where is the door?##bench,dog,potted plant,potted plant,fire hydrant,car,cat,person	Ina ƙofar take?
Screen.##laptop,cat,bottle,bed,book,cup,keyboard,book,cell phone,bed	Fuska.
A fence.##sheep,sheep,sheep,sheep	Shinge.
On the ground.##elephant,person,umbrella,person,car,person,car,car,umbrella,stop sign	A ƙasa.
What kind of animal is shown?##cat,potted plant,potted plant,potted plant,vase,potted plant,tv	Wana irin dabba aka nuna?
How is the bus on street?##bus,person,person	Yaya bas ɗin kan titi?
How many animals are in the picture?##cat,person,scissors	Nawane adadin dabbobi a cikin hoton?
Where is the yellow bag?##person,motorcycle,bicycle,person,person,cow,bird,bicycle,banana,cat	Ina rawayar jakar?
What color is the garbage can to the left?##person,person,person,person,person,person,handbag,person,potted plant,cell phone	Wani launi ne da kwandon sharan hagun?
White and yellow.##bus,person,person	Fari da ruwan ɗorawa.
What cars are the most visable?##car,car,person,car,car,car,car,car,person,car	Wanne motoci ne akafi gani?
What is written in the plane?##airplane,airplane	Me aka rubuta a jikin jirgin saman?
What color is the man's hair?##person,person,hot dog,hot dog	Mene launin gashin kai mutumin.
Gray.##person,airplane	Ruwan toka.
This is a light blue and cloudy sky.##sheep,sheep,cow,sheep,sheep	Wannan shuɗi ne me haske da hadari saman?
Who is on each side of the court?##person,person,person,person,person,person,person,person,person,person	Waye a ko wani gefen filin wasan?
Yellow and blue.##train,train,train,train,train	Rawaya da shuɗi.
How are the zebras positioned?##zebra,zebra,zebra,zebra	Yaya jakunan dawan suke?
Black.##person,surfboard	Baƙi.
Where are the horses?##horse,horse	Ina dokunan?
What color is the sand?##person,person,person,person,tennis racket,sports ball,tennis racket,frisbee	Mene launin ƙasan?
Bags.##umbrella,person,person,potted plant,potted plant,potted plant,kite,handbag,handbag,potted plant	Jakankuna.
Who is that person wearing red?##person,person,clock,bench,clock,person,truck,traffic light,traffic light,traffic light	Waye wancan dake sanye da ja?
Where is the water?##bench,boat,boat,boat,boat,boat,boat,boat,boat,boat	Ina ruwan?
What is in the left hand?##hot dog,hot dog,person,person,person,person,sandwich,person	Menene a hannun hagun?
What is behind the train?##person,person,person,person,train,handbag,tie,person,handbag	Mene bayan jirgin ƙasan?
Where are the lights?##toilet,parking meter	Ina fitular suke?
Why is the sky dark?##clock,clock	Meyasa sararin samaniya tayi duhu?
What does the man have?##bicycle,person,traffic light,potted plant,potted plant,potted plant,potted plant,bench,potted plant,potted plant	Me mutumin ke dashi?
When was this photo taken?##person,train,person,cell phone,person,handbag,handbag,suitcase,backpack,backpack	Yaushe aka ɗauki wannan hoton?
When was this?##fire hydrant,car,fire hydrant,car,train,car	Yaushene wannan?
What color is the frame of the laptop?##laptop,cup,cup,laptop,person,chair,pizza,person,keyboard,dining table	Menene launin firam ɗin kwamfutar tafi-da-gidankan?
Why is the wine there?##bottle,bottle,bottle,bottle,wine glass,bottle,bottle,wine glass,cup,wine glass	Meyasa ruwan inibin yake nan?
Two women.##person,person,surfboard,surfboard	Mata biyu.
Drinking.##horse,bird,bird,bird,bird,bird	Shan ruwa.
What is neat and clean?##bed,bed,chair,dining table,tv,book,tv	Menene a gare kuma a tsabtace.
A woman.##person,person,person,person,person,person,person,person,person,chair	Mace.
What is on the beach?##person,dog,horse	Menene a  bakin tekun?
In sky.##clock	a sararin samaniya.
Train station.##train,book,book,book,book,book	Tashar jirgin ƙasa.
2##person,person,bed,bed,remote,cell phone	2
Brick.##toilet,potted plant,potted plant,potted plant,chair,bench,potted plant	Jan bulo.
Train.##train	Jirgin ƙasa.
A car.##person,car,horse,person,car,horse,person,person,car	Mota.
A glass shelf.##person,car,chair,wine glass,chair	Kwabar gilashi.
What color is cabinet?##cat,tv,book	Wani launi ne da durowar?
There aren't any.##fire hydrant,truck	Babu kowa.
The trees.##bench	Bishiyu.
What is on the ground?##bench,boat,umbrella	Menene a ƙasa?
Who is jumping?##person,person,person,person,person,person,person,car,person,person	Waye yake tsalle?
Hat.##person,bowl,oven,knife,oven,knife,bowl,knife,bottle,oven	Hula.
What color are the mules?##horse,horse,person,umbrella,umbrella,boat,suitcase	Wani launi ne alfadaran?
Who is sitting in the cart?##horse,person,person	Suwaye suke zaune a amalanke?
One.##fork,cup,knife,wine glass,dining table,fork,cup,fork,vase,bowl	ɗaya.
What animal is shown?##cat,car,chair,chair	Wacce dabba aka nuna?
Was just used.##toilet	Saboda ba'ajima da amfani dashiba
What is on the boy's backs?##umbrella,person,person,potted plant,potted plant,potted plant,kite,handbag,handbag,potted plant	Mene ne abayan  yaran?
When he leaves.##truck,person,person	Sanda ya tafi.
Goats.##sheep,sheep,sheep,bird	Akuyoyi.
Reading manga.##person,cup,cup,cup,dining table,tv,book,backpack,backpack,book	Karanta manga.
What color is the water?##person,surfboard,person,surfboard	Menene launin ruwan?
A restaurant.##person,person,pizza,dining table,bottle,wine glass,cup	A gidan abinci.
The bus driver.##bus,person,person,truck	Matoƙin motar bas din.
What kind of vehicle?##traffic light,person,train,bench,bus,traffic light,traffic light	Wacce irin abun hawa?
Stainless steel.##bottle,bowl,bowl,cup,dining table,bowl,spoon,spoon,dining table	Na silba.
On the bed.##teddy bear,bed,teddy bear,person,teddy bear,book,bed,book	A kan gadon.
Where was the picture taken?##train,person,traffic light,traffic light,person,stop sign,person	A ina aka ɗauki hoton?
Name.##airplane,person	Suna.
Who is in the photo?##bench,boat,umbrella	Wanene a cikin hoton?
At an antique car show.##person,car,truck,car,car,truck,car,person,car,person	Shagon siyar da tsoffin kaya.
Green.##car,person,person,person,car,person,car,traffic light,bicycle,person	Kore.
Where is the light?##car,car,traffic light,car,traffic light,traffic light,car,traffic light,traffic light,car	Ina fitilar?
Where is the mustard?##carrot,carrot,hot dog,carrot,sandwich	Ina mustard yake?
Where is the person?##person,car,dog	Ina matar take?
A man.##person,umbrella,umbrella,bench,person,backpack,bus,handbag	Mutumin
On the bed.##person,bed	Akan gado.
What does the sign say?##bench	Me alamar ta ce?
Light blue shorts.##person,person,sports ball,tennis racket	Gajiran wando shuɗi mai haske
What letter are the giraffes making?##giraffe,giraffe	Menene harafi raƙuman dawa sukayi?
What colors are the street lines?##horse,person	Wasu launuka ne da layukan titin?
It's at a station.##person,train,person,person,person,person,handbag	Tasha ce.
What is in the sky that is big?##airplane	Menene a sama da ya kasance babba?
Where is the animal sitting?##cat,bench	A ina dabbar take zaune?
Standing.##zebra,zebra,zebra,zebra,zebra	Tsayuwa.
Food.##fork,cup,knife,wine glass,dining table,fork,cup,fork,vase,bowl	Abinci.
The office.##person,person,tie,chair,potted plant,chair	A ofic
One.##dining table,person,cup,chair,chair,cup,chair,sandwich,cup,spoon	Ɗaya.
Where is the chair?##chair,vase,vase,vase,vase,vase,vase,vase,vase,vase	Ina kujerar?
Who is in the picture?##bird,bird,bird,bird,bird,bird	Waye a cikin hoton?
1##train,person,train,person	Daya.
To advertise.##truck,car	Don talla.
A cow.##cow,person,person,person,person,person,person,person,backpack,backpack	Saniya.
Rocks.##boat,boat,kite,person,person	Duwatsu.
Skiing.##person,skis	Gudun ƙanƙara.
White.##person,person,person,person,person,person,person,person,person,handbag	Fari.
Under the umbrella.##person,person,person,bench,umbrella,car,umbrella,bench,bench,bench	ƙasan lema.
What is on the counter?##bottle,bottle,toilet,sink,toilet	Menene a kan kanta?
Bricks.##bus,person,person,truck	Jan bulo.
What is the man holding?##motorcycle,person,chair,chair,couch	Me mutumin yake riƙe dashi?
Trees.##person,skis	Bishiyu.
Floor.##toilet	Ƙasa.
With the spoon.##spoon,cup,wine glass,orange,dining table,cup,wine glass,cup,pizza,wine glass	Da cokalin.
Tarmac.##airplane,airplane,truck,airplane,truck,person,airplane,sports ball	Tarmac.
Off to the side.##cat,horse,remote,couch	Can gefe.
Morning.##cow,cow,elephant	Da safe?
Where was this photo taken?##person,person,skateboard,person,person,person	A ina aka ɗauka hoton?
How many train tracks are there?##train,car	Hanyar jirgin ƙasa nawa ne a nan?
Two sticks.##tie,carrot,potted plant,bird,bird,potted plant,potted plant,person,cake	Sanduna biyu.
Where was this photo taken?##person,person,person,person,truck,person,person,person,airplane,person	A ina aka ɗauka wannan hoton?
Cupcake.##person,wine glass,person,dining table,person,cake,cup,person,dining table	Cupcake.
On a net.##bird	Akan raga.
A display.##zebra,giraffe,giraffe,bird,bird,bird,bird,giraffe,bird,bird	Nuni.
What are the poles for?##person,skis	Meye amfanin sandunan?
What color is the man's hat?##person,airplane	Menene launin hular mutumin?
How many bottles are there?##knife,bowl,knife,frisbee,bottle,bowl,bowl	Nawa ne adadin kwalabe a gurin?
Two.##person,person,person,person,tennis racket,sports ball,tennis racket,frisbee	Biyu.
In the kitchen.##person,oven,bottle,bottle,dog,oven,bottle,microwave,bottle,vase	Cikin madafan.
Black.##clock,clock	Baƙi.
Fridge.##refrigerator,suitcase,bottle,bottle,clock,oven,bottle,oven,clock,cup	Firji.
What is on her face?##person,book,chair,couch,book,book,book,book,book,book	Mene a fuskar ta?
How many officials are there?##person,person,person,baseball glove,baseball bat	Nawane adadin hukuman a gurin?
What color is the sky?##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra	Wani launi ne sararin samaniya?
White board.##person,surfboard	Farin allo?
What is on the truck?##person,truck,truck	Mene kan babbar motar?
One.##person,scissors,person,person,person,person	ɗaya.
Skiing.##person,skis	Sulun ƙanƙara.
Graffiti.##skateboard,person,person,skateboard	Graffiti.
Sleeping.##cat,remote,couch	Bacci.
One.##donut,donut,donut,donut,donut,donut,donut,donut,donut,donut	ɗaya.
One.##surfboard,person	Ɗaya
Who is waiting on the platform?##train,person,bicycle,bicycle,person,bicycle,bicycle,person,person,person	Wanene yake jira a dandamalin?
Bus.##bus,bus,car,bus,car,car,car,car,car,car	Bas.
What are the floors made of?##couch,vase,vase,book,book,book,book,book,book,dining table	Dame akayi daɓen ƙasan?
The man in the light blue shirt.##person,person,person,sports ball,tennis racket,tennis racket,tennis racket,tennis racket,baseball bat,tennis racket	Mutumin dake sanye da riga shuɗiya mai haske.
What is the red thing attached to the dog?##dog,person,skateboard,bench	Wani jan abu ne aka maƙale shi da karen?
Red.##cat,bench	Ja.
Luggage.##suitcase,suitcase,suitcase,suitcase,bench,suitcase,suitcase,suitcase	Kayayyaki.
What is on the baseball players hands?##person,person,person,baseball bat,handbag,person	Mene a hannun ɗan wasan basbal?
Daytime.##person,person,skateboard,umbrella,person,person,person,person,person,umbrella	Da rana.
Who is playing tennis?##person,sports ball,tennis racket,tennis racket	Waye yake wasn tanis?
Day time.##motorcycle,motorcycle,person,car,person,person,person,car,person,person	Da rana.
Where are the bananas?##person,person,orange,orange,orange,orange,orange,orange,orange,orange	Ina ayabar
What is this room?##oven	Wani ɗaki ne nan?
Sidewalk.##bus,person,bench,person,person,person,person,truck,person,person	Gefen hanya.
How many benches?##bench,person,person,person,person	Benci nawa ne?
Above the sink.##toilet,sink,toilet,chair,toothbrush,bowl,toothbrush	A saman abun wanke hannu.
Person in second row.##person,person,tv,chair,bus,person,scissors,person	mutumin da ke layi na biyu.
Clouds.##zebra,zebra,zebra,zebra	Hadari.
Playing a game.##person,remote,cup,remote,toothbrush,cup,chair,chair	Yin wasa.
Skateboard.##person,skateboard	Allo mai taya.
When is this taken?##person,person,person,bicycle,person,person,motorcycle,motorcycle,tv,motorcycle	Yaushe aka ɗauki wannan?
In vase.##vase,potted plant,chair,dining table,chair	Tukunyar furrai ta gilashi
What color is the sign text?##traffic light,traffic light	Mene launin rubuta dake jikin alamar
How many benches are there?##bench	Benci nawa ne a nan?
Silver and black.##person,person,person,motorcycle,person,person,person,person	Kalal azurfa da baƙi.
Under the bird.##bird	A ƙasan tsuntsun.
What color is the traffic light?##traffic light,car,car,car,car,car,traffic light,car,car,traffic light	Wacce launi ne a dangar?
What color is the cat?##book,cat,person,cat,book,person,suitcase,handbag	Wacca launi ce magen?
What is on his head?##person,person,car	Menene a kan sa?
Where are the people at?##horse,horse,horse,person,horse,umbrella,person,person,person,person	A ina mutanen suke?
One.##person,motorcycle	Ɗaya.
White.##sink,potted plant,toilet,vase,toilet	Fari.
A zebra.##zebra	Jikin dawa.
Why are the oranges sliced?##orange,orange,orange,apple,orange,apple,apple,apple,person,apple	Me yasa aka yanka lemon zakin?
What type of floor is shown?##chair,chair,couch,book,remote,dining table,remote,dining table,chair,cup	Wanne irin daɓe aka nuna?
Weeds.##horse,kite,kite	Ciyawa.
What color is the first car?##person,traffic light,car,parking meter,car,car,car,car,car,car	Mene launin motar farko?
What bear has teeth visible?##bear,bear	Wacce bear ce ake iya ganin haƙwaran ta?
Where is the girl standing?##person,person,teddy bear,handbag	Ina yarinyar ke tsaye?
Round.##bird	Da'ira.
During the day.##banana,orange,clock,bowl,orange,banana,orange,orange,orange,orange	A cikin yini
Who is standing there?##person,fire hydrant,person,person,fire hydrant,person,car,person,backpack,car	Wanene yake tsaye a can?
Where is the cat?##cat,car	Ina magen?
Goggles.##person,skis,skis,skis	Tabarau.
Where are the carrots?##carrot,bottle,dining table,carrot,carrot,carrot,donut,pizza,dining table,carrot	Ina karas ɗin?
Straw.##person,car,person,horse,bicycle,umbrella,person,person,person,umbrella	Bambaro.
What color is the water?##bird	Meye launin ruwan?
3##person,person,person,person,train,handbag,tie,person,handbag	3
Red.##stop sign,traffic light	Ja.
What is brown?##person,person,person,person,person,person,person,person,person,skateboard	Menene ruwan ƙasa?
Two.##tv,potted plant,potted plant,vase,vase,potted plant,vase,person,backpack,chair	Biyu.
Green.##cat,tv,book,book,book	Kore.
When was this image taken?##person,skateboard,surfboard,car,person,car	Yaushe aka ɗauki hoton?
Where are the chairs?##fire hydrant	Ina kujerun?
Brown and yellow.##person,skateboard,car,car,car	Ruwan ƙasa da rawaya.
Behind the woman.##person,tennis racket,person,tennis racket,sports ball,car,stop sign,stop sign	Bayan matar.
